idx,num_tokens,label,pt_yes,pt_no,pt_pred,fhe_yes,fhe_no,fhe_pred,time_sec
107,60,0,18.1406,16.9062,Yes,18.0448,16.8454,Yes,375.8
108,65,0,18.1562,17.1094,Yes,18.0499,17.0187,Yes,385.7
109,74,1,18.1562,17.1094,Yes,18.0684,17.0654,Yes,385.1
110,66,1,18.0469,16.7969,Yes,17.9312,16.7048,Yes,382.2
111,101,1,17.9688,16.8281,Yes,17.7338,16.6620,Yes,390.4
112,81,1,18.1250,16.8438,Yes,17.9273,16.6885,Yes,389.8
113,89,1,18.1719,17.0781,Yes,17.9678,16.9179,Yes,420.2
114,73,0,18.7031,17.8281,Yes,18.5962,17.7501,Yes,464.4
115,85,0,17.6875,16.5000,Yes,17.5223,16.3684,Yes,411.4
116,71,1,17.7344,16.8750,Yes,17.6077,16.7634,Yes,380.7
117,104,1,17.7969,16.8281,Yes,17.5627,16.6371,Yes,391.3
118,87,1,18.1094,17.0000,Yes,17.9229,16.8700,Yes,390.7
119,85,1,18.0469,16.9375,Yes,17.8700,16.7935,Yes,357.6
120,103,1,17.7344,16.7031,Yes,17.5266,16.5544,Yes,390.1
121,60,1,18.4375,17.1875,Yes,18.3593,17.1190,Yes,350.7
122,64,0,18.1719,17.1250,Yes,18.0743,17.0539,Yes,383.6
123,89,1,17.6562,16.6406,Yes,17.5575,16.5641,Yes,364.3
124,76,1,17.8594,16.7656,Yes,17.7318,16.6677,Yes,385.8
125,85,1,18.0938,16.7500,Yes,17.9463,16.6433,Yes,361.2
126,61,1,18.1250,16.8125,Yes,18.0133,16.7298,Yes,378.0
127,58,0,18.1094,16.9375,Yes,18.0020,16.8627,Yes,377.1
128,88,1,18.2969,17.0312,Yes,18.1299,16.9098,Yes,357.3
129,55,1,18.0781,16.5781,Yes,17.9898,16.5231,Yes,377.9
130,94,1,18.1562,16.8594,Yes,17.8915,16.6703,Yes,390.8
131,76,0,18.4688,17.3125,Yes,18.3304,17.2270,Yes,357.3
132,78,1,17.9375,16.7031,Yes,17.7926,16.5661,Yes,386.4
133,68,0,17.7656,16.9219,Yes,17.6967,16.8713,Yes,385.6
134,55,1,18.3281,17.2344,Yes,18.2672,17.1824,Yes,345.7
135,67,1,18.2500,17.1406,Yes,18.1305,17.0482,Yes,385.5
136,71,0,17.7969,16.8906,Yes,17.6386,16.7671,Yes,351.7
137,90,0,18.0781,16.8281,Yes,17.8910,16.6870,Yes,359.8
138,78,1,18.1719,16.8750,Yes,17.9724,16.7159,Yes,356.3
139,91,0,17.8750,16.8281,Yes,17.6341,16.6261,Yes,391.3
140,100,1,18.1875,16.8281,Yes,17.9110,16.6375,Yes,392.4
141,70,0,18.0156,16.8750,Yes,17.8638,16.7448,Yes,383.4
142,74,0,17.9375,17.0469,Yes,17.8065,16.9386,Yes,357.3
143,85,1,18.4219,16.8281,Yes,18.2459,16.6850,Yes,357.0
144,84,0,18.2188,17.1719,Yes,18.1136,17.1050,Yes,388.1
145,74,0,18.0469,16.8281,Yes,17.9103,16.7372,Yes,356.5
146,97,1,18.1094,17.1406,Yes,17.9007,16.9804,Yes,391.4
147,71,1,17.7656,16.6094,Yes,17.6668,16.5519,Yes,355.9
148,74,1,18.3125,16.9062,Yes,18.1772,16.8174,Yes,355.7
149,83,1,18.1250,17.1094,Yes,17.9625,16.9774,Yes,386.7
150,102,0,17.4531,16.3438,Yes,17.1196,16.1077,Yes,391.9
151,64,1,18.4219,17.2031,Yes,18.3327,17.1285,Yes,351.2
152,60,1,18.1094,16.6719,Yes,18.0337,16.6076,Yes,348.9
153,89,1,18.1875,17.1094,Yes,18.0260,17.0058,Yes,355.9
154,76,1,18.2188,16.9844,Yes,18.0662,16.8570,Yes,358.5
155,60,1,18.0938,16.9062,Yes,17.9970,16.8380,Yes,348.8
156,61,1,18.2969,16.8125,Yes,18.2019,16.7406,Yes,346.3
157,55,0,18.2812,16.8438,Yes,18.2064,16.7741,Yes,343.5
158,77,0,18.0312,17.0156,Yes,17.9232,16.9277,Yes,385.3
159,56,1,17.9219,16.8750,Yes,17.8435,16.7985,Yes,376.2
160,59,1,18.2188,17.0625,Yes,18.1351,16.9960,Yes,376.0
161,71,1,17.8594,16.8906,Yes,17.7357,16.7988,Yes,357.2
162,94,1,17.8125,16.7188,Yes,17.5564,16.5326,Yes,363.1
163,83,1,18.2969,17.1406,Yes,18.1236,17.0006,Yes,355.2
164,96,1,17.7188,16.4844,Yes,17.4623,16.2861,Yes,389.3
165,59,1,18.2188,16.8281,Yes,18.1229,16.7547,Yes,347.0
166,56,1,17.9844,16.9219,Yes,17.8871,16.8427,Yes,343.1
167,61,0,18.1406,17.1562,Yes,18.0639,17.1098,Yes,348.7
168,89,1,17.9688,16.8594,Yes,17.7539,16.6998,Yes,355.5
169,83,0,17.9844,16.6250,Yes,17.8383,16.5326,Yes,355.8
170,70,0,18.0469,16.9062,Yes,17.9155,16.8056,Yes,353.7
171,67,1,18.2969,17.2969,Yes,18.2107,17.2321,Yes,351.2
172,76,1,17.8906,16.8438,Yes,17.7515,16.7556,Yes,360.5
173,89,1,18.1094,16.8906,Yes,17.9480,16.7746,Yes,362.0
174,74,0,18.1719,17.0312,Yes,18.0663,16.9580,Yes,357.2
175,84,1,18.0781,16.8281,Yes,17.9407,16.7155,Yes,354.6
176,82,1,18.0000,16.8125,Yes,17.8213,16.6663,Yes,383.8
177,54,0,17.4844,16.5938,Yes,17.4278,16.5501,Yes,376.0
178,69,1,18.0156,17.2500,Yes,17.8872,17.1394,Yes,384.8
179,85,1,18.1250,16.9375,Yes,17.9849,16.8269,Yes,362.6
180,83,0,18.0625,16.8594,Yes,17.8840,16.7186,Yes,364.0
181,71,0,18.2500,16.9844,Yes,18.1124,16.8723,Yes,355.4
182,96,1,18.0000,17.0781,Yes,17.8431,16.9469,Yes,354.8
183,62,1,17.9688,16.7812,Yes,17.8447,16.6767,Yes,375.3
184,69,0,17.8594,16.7969,Yes,17.7129,16.6644,Yes,350.8
185,94,1,18.3906,17.1719,Yes,18.1770,17.0162,Yes,357.2
186,74,0,18.0156,17.2344,Yes,17.9066,17.1432,Yes,354.6
187,82,1,17.9688,16.8750,Yes,17.7982,16.7422,Yes,360.1
188,67,0,17.5000,16.6875,Yes,17.3729,16.5816,Yes,352.2
189,87,1,18.0781,17.2500,Yes,17.9322,17.1362,Yes,359.4
190,66,1,18.2812,17.0625,Yes,18.1859,17.0009,Yes,361.1
191,68,0,18.3281,17.5000,Yes,18.2455,17.4357,Yes,352.3
192,86,1,18.0625,16.8594,Yes,17.8893,16.7196,Yes,386.3
193,91,1,18.1875,17.1094,Yes,17.9837,16.9390,Yes,359.4
194,65,0,18.1875,17.0781,Yes,18.0804,17.0021,Yes,356.8
195,53,1,18.4531,17.2500,Yes,18.3967,17.2034,Yes,375.3
196,91,1,17.9688,16.7188,Yes,17.7548,16.5603,Yes,363.5
197,72,0,17.8906,16.7188,Yes,17.7687,16.6331,Yes,350.0
198,80,1,17.9062,16.7031,Yes,17.7230,16.5632,Yes,356.5
199,64,1,18.2812,17.1875,Yes,18.1859,17.1154,Yes,347.3
200,60,1,17.9531,16.8281,Yes,17.8757,16.7876,Yes,344.8
201,81,0,17.7188,16.9531,Yes,17.5185,16.7749,Yes,356.6
202,92,1,17.9219,16.7031,Yes,17.7113,16.5275,Yes,387.8
203,75,1,17.8125,16.7031,Yes,17.6594,16.5822,Yes,385.0
204,56,1,18.3906,17.0938,Yes,18.2948,17.0214,Yes,374.2
205,82,0,18.0469,17.0156,Yes,17.9070,16.9223,Yes,384.6
206,56,1,18.2500,17.0781,Yes,18.1669,17.0122,Yes,346.3
207,53,1,18.3281,17.0938,Yes,18.2373,17.0258,Yes,377.0
208,105,1,17.7344,16.4219,Yes,17.4452,16.2144,Yes,388.7
209,76,0,18.1250,17.1406,Yes,18.0302,17.0661,Yes,383.9
210,62,0,18.2969,17.0156,Yes,18.2076,16.9544,Yes,373.8
211,88,1,17.5312,16.4688,Yes,17.3226,16.3293,Yes,387.3
212,97,1,18.1875,16.9688,Yes,17.9973,16.8189,Yes,390.2
213,73,0,17.8906,16.9844,Yes,17.7371,16.8406,Yes,382.9
214,69,1,18.0625,16.8750,Yes,17.9770,16.8176,Yes,380.5
215,71,1,17.8438,16.7500,Yes,17.7094,16.6294,Yes,386.8
216,74,1,17.9375,17.0156,Yes,17.8150,16.9204,Yes,387.8
217,98,1,18.1406,17.1094,Yes,17.9113,16.9481,Yes,388.5
218,91,0,17.7812,16.6250,Yes,17.5743,16.4706,Yes,389.4
219,71,1,18.1719,17.2031,Yes,18.0777,17.1425,Yes,356.5
220,80,1,18.1250,17.1094,Yes,17.9791,17.0104,Yes,385.5
221,74,1,18.0156,16.8281,Yes,17.8444,16.7041,Yes,353.3
222,82,1,17.8750,16.7656,Yes,17.7970,16.7078,Yes,359.6
223,69,0,17.9375,17.1094,Yes,17.8788,17.0723,Yes,355.7
224,73,1,18.5469,17.3438,Yes,18.4264,17.2547,Yes,353.8
225,62,1,18.4219,16.9219,Yes,18.2964,16.8195,Yes,344.1
226,82,1,17.9844,16.7188,Yes,17.8285,16.6023,Yes,354.1
227,69,1,18.4219,17.3594,Yes,18.3330,17.3027,Yes,348.5
228,69,1,18.1250,17.0625,Yes,17.9979,16.9767,Yes,358.9
229,67,1,18.2031,17.2344,Yes,18.1122,17.1632,Yes,384.4
230,87,1,17.8125,16.6562,Yes,17.6400,16.5332,Yes,389.7
231,72,1,18.3281,17.0156,Yes,18.2177,16.9238,Yes,386.2
232,64,1,18.3438,17.0625,Yes,18.2297,16.9754,Yes,376.0
233,111,1,18.0625,16.8750,Yes,17.7798,16.6615,Yes,391.1
234,69,1,18.0938,17.0781,Yes,17.9972,17.0087,Yes,358.9
235,70,0,17.9219,16.7812,Yes,17.8049,16.7039,Yes,382.4
236,74,1,17.9688,16.8906,Yes,17.8214,16.7731,Yes,357.3
237,88,0,17.4844,16.1562,Yes,17.3250,16.0647,Yes,356.4
238,83,1,17.8438,16.6562,Yes,17.6845,16.5499,Yes,388.3
239,68,0,18.1562,16.9219,Yes,18.0425,16.8342,Yes,385.1
240,81,1,18.1094,16.9375,Yes,17.9920,16.8368,Yes,390.2
241,73,0,17.9531,16.9219,Yes,17.8094,16.8019,Yes,350.9
242,84,1,17.7969,16.8281,Yes,17.5971,16.6634,Yes,386.1
243,62,1,18.2188,17.0625,Yes,18.1266,17.0018,Yes,348.2
244,79,1,18.0156,16.7969,Yes,17.8982,16.7113,Yes,391.4
245,53,1,18.3125,16.9375,Yes,18.2515,16.8852,Yes,345.1
246,54,1,18.0781,17.1875,Yes,18.0019,17.1139,Yes,377.9
247,66,0,18.1719,16.9844,Yes,18.0735,16.9189,Yes,389.2
248,67,1,18.1406,17.3594,Yes,18.0335,17.2827,Yes,354.8
249,60,1,18.2031,17.1406,Yes,18.0902,17.0499,Yes,381.7
250,62,1,18.4375,17.0625,Yes,18.3281,16.9728,Yes,349.4
251,79,0,18.0312,17.1562,Yes,17.9062,17.0578,Yes,358.8
252,92,1,17.7969,16.5469,Yes,17.5597,16.3776,Yes,407.1
253,67,0,18.4219,17.3125,Yes,18.3400,17.2598,Yes,359.5
254,68,1,18.0000,16.7031,Yes,17.8794,16.6048,Yes,364.6
255,64,0,18.3125,17.0312,Yes,18.2546,16.9938,Yes,356.5
256,86,1,17.8281,16.5938,Yes,17.6451,16.4488,Yes,388.4
257,91,1,17.6094,16.4844,Yes,17.4004,16.3102,Yes,363.4
258,74,1,18.1250,17.1250,Yes,18.0106,17.0457,Yes,356.0
259,66,0,18.0625,17.1250,Yes,17.9882,17.0809,Yes,353.1
260,81,1,18.0938,16.8281,Yes,17.9382,16.7062,Yes,358.8
261,61,0,18.5469,17.5625,Yes,18.4338,17.4717,Yes,375.6
262,81,1,17.7500,16.7812,Yes,17.5714,16.6411,Yes,360.2
263,77,1,17.8438,16.8438,Yes,17.7373,16.7641,Yes,386.2
264,70,0,18.1562,16.8281,Yes,18.0401,16.7443,Yes,357.1
265,59,1,17.6875,16.0938,Yes,17.5642,15.9971,Yes,375.5
266,67,1,18.2969,17.0625,Yes,18.2068,17.0137,Yes,357.4
267,64,0,18.2656,17.1406,Yes,18.1626,17.0582,Yes,349.8
268,60,0,18.4375,17.1406,Yes,18.3424,17.0799,Yes,346.5
269,59,1,18.3125,17.0781,Yes,18.2522,17.0383,Yes,346.6
270,59,0,18.2812,17.1719,Yes,18.2007,17.1127,Yes,347.1
271,66,1,18.2188,17.0156,Yes,18.0984,16.9317,Yes,354.6
272,57,1,18.6250,17.4844,Yes,18.5407,17.4290,Yes,377.2
273,75,1,18.0938,17.0156,Yes,17.9559,16.9079,Yes,388.6
274,84,1,18.3438,17.1250,Yes,18.1726,16.9894,Yes,495.1
275,71,1,18.3594,17.0781,Yes,18.2384,16.9760,Yes,357.4
276,64,1,18.1406,16.9062,Yes,18.0363,16.8289,Yes,348.2
277,79,1,17.7500,16.4375,Yes,17.5654,16.2936,Yes,357.6
278,97,1,17.5312,16.4688,Yes,17.2684,16.2791,Yes,366.2
279,85,0,18.0000,16.8125,Yes,17.8287,16.6846,Yes,386.4
280,55,1,18.1562,16.7656,Yes,18.0666,16.6827,Yes,375.3
281,93,1,17.7969,16.4688,Yes,17.5854,16.2869,Yes,390.1
282,77,1,17.8281,16.7344,Yes,17.7039,16.6366,Yes,355.3
283,74,0,17.8125,17.0938,Yes,17.6767,16.9873,Yes,360.1
284,85,0,17.9375,16.7188,Yes,17.7851,16.6173,Yes,354.7
285,80,1,18.2344,16.9062,Yes,18.0503,16.7696,Yes,356.7
286,77,1,18.2188,17.0625,Yes,18.1018,16.9801,Yes,357.4
287,63,1,18.1719,17.2969,Yes,18.0787,17.2194,Yes,377.2
288,85,1,18.2969,17.0781,Yes,18.1623,17.0076,Yes,351.8
289,64,1,17.9688,17.0000,Yes,17.8728,16.9330,Yes,349.8
290,61,1,18.2188,16.8750,Yes,18.1278,16.7985,Yes,344.1
291,65,0,18.1094,17.0625,Yes,17.9914,16.9712,Yes,381.9
292,73,1,17.9688,16.8438,Yes,17.8556,16.7652,Yes,359.8
293,67,1,18.0156,16.9375,Yes,17.8936,16.8472,Yes,350.5
294,79,1,17.8906,16.7031,Yes,17.7240,16.5824,Yes,356.1
295,90,0,17.9531,16.8125,Yes,17.7594,16.6700,Yes,384.6
296,68,0,17.9219,17.3125,Yes,17.8111,17.2409,Yes,356.3
297,56,0,18.0469,16.8750,Yes,17.9642,16.8041,Yes,342.4
298,79,1,18.0781,16.7969,Yes,17.9062,16.6627,Yes,359.9
299,52,1,17.5781,16.7188,Yes,17.5129,16.6703,Yes,375.4
300,73,1,18.0156,16.7188,Yes,17.8626,16.5924,Yes,357.3
301,94,1,17.9375,16.8281,Yes,17.7365,16.6584,Yes,386.6
302,76,1,18.0000,16.7812,Yes,17.8582,16.6641,Yes,359.4
303,92,1,17.7031,16.7812,Yes,17.5369,16.6484,Yes,362.9
304,74,1,18.1719,17.0625,Yes,18.0325,16.9392,Yes,356.9
305,86,1,17.8906,16.7812,Yes,17.6785,16.6106,Yes,359.2
306,86,0,17.7812,16.8281,Yes,17.6214,16.6936,Yes,386.8
307,70,1,17.8125,16.6250,Yes,17.6450,16.4800,Yes,382.5
308,70,0,18.2344,17.5938,Yes,18.1401,17.5110,Yes,354.5
309,90,0,18.0000,16.7812,Yes,17.8170,16.6326,Yes,387.1
310,76,0,18.3750,17.5000,Yes,18.2726,17.4339,Yes,384.0
311,81,1,17.8750,16.7188,Yes,17.6924,16.5671,Yes,382.1
312,52,1,18.1719,17.0312,Yes,18.0828,16.9593,Yes,375.0
313,85,0,17.8438,16.6719,Yes,17.6407,16.5356,Yes,385.9
314,73,1,17.8906,16.7812,Yes,17.7039,16.6186,Yes,395.5
315,69,0,18.2500,17.2656,Yes,18.1680,17.1913,Yes,381.4
316,77,1,17.9219,16.5938,Yes,17.7813,16.4869,Yes,382.2
317,93,1,17.7031,16.4531,Yes,17.4545,16.2588,Yes,541.0
318,65,0,17.9688,16.7812,Yes,17.8834,16.7183,Yes,410.4
319,70,0,17.9062,16.7500,Yes,17.7869,16.6675,Yes,631.3
320,76,0,17.9219,16.7500,Yes,17.8164,16.6752,Yes,382.2
321,73,0,17.9219,16.9062,Yes,17.7910,16.7986,Yes,387.8
322,94,0,18.1562,16.9375,Yes,17.9427,16.7697,Yes,387.6
323,65,1,17.8438,17.0000,Yes,17.7365,16.9089,Yes,383.7
324,78,0,18.0625,16.7656,Yes,17.9546,16.7132,Yes,385.8
325,92,1,17.5312,16.5625,Yes,17.2613,16.3396,Yes,390.4
326,84,0,17.9375,16.8281,Yes,17.7410,16.6863,Yes,387.2
327,98,1,18.3125,17.3594,Yes,18.1210,17.2140,Yes,390.4
328,80,1,18.1250,16.8281,Yes,17.9594,16.6934,Yes,387.5
329,80,1,18.0625,16.8594,Yes,17.9032,16.7511,Yes,356.2
330,90,1,18.0000,16.7969,Yes,17.8116,16.6616,Yes,387.9
331,72,1,18.1719,17.2969,Yes,18.0278,17.1798,Yes,385.9
332,90,0,18.0312,16.9375,Yes,17.8465,16.8163,Yes,357.1
333,63,1,18.4375,17.1875,Yes,18.3217,17.0999,Yes,379.7
334,81,1,17.9062,16.7344,Yes,17.7088,16.5907,Yes,385.6
335,84,1,17.7656,16.7500,Yes,17.5727,16.6095,Yes,360.4
336,77,1,17.9375,16.7812,Yes,17.8113,16.6887,Yes,384.3
337,85,0,18.0469,16.8281,Yes,17.8490,16.6689,Yes,389.3
338,71,0,17.4531,16.0625,Yes,17.3231,15.9803,Yes,385.2
339,83,1,18.3125,17.2188,Yes,18.1893,17.1190,Yes,389.3
340,81,1,17.5312,16.6250,Yes,17.3647,16.4988,Yes,361.6
341,87,1,17.9219,16.4844,Yes,17.7108,16.3433,Yes,388.9
342,49,0,18.4219,17.6406,Yes,18.3729,17.6015,Yes,377.0
343,77,0,18.0938,16.8281,Yes,17.9377,16.7000,Yes,355.7
344,100,1,18.1250,17.0000,Yes,17.8974,16.8311,Yes,392.5
345,81,1,18.3438,17.1719,Yes,18.1931,17.0558,Yes,358.4
346,77,1,17.8281,16.8125,Yes,17.7195,16.7479,Yes,356.7
347,80,1,17.6406,16.6719,Yes,17.5106,16.5523,Yes,360.3
348,67,0,17.8906,16.8750,Yes,17.8184,16.8316,Yes,383.0
349,78,1,18.1250,16.7656,Yes,17.9605,16.6592,Yes,354.2
350,78,0,17.9688,17.1406,Yes,17.8130,17.0117,Yes,353.0
351,89,1,17.6719,16.6406,Yes,17.5283,16.5569,Yes,388.5
352,81,0,17.8906,16.5625,Yes,17.7045,16.4012,Yes,357.8
353,88,1,18.0938,17.2188,Yes,17.9593,17.1185,Yes,386.0
354,88,0,18.1406,17.1094,Yes,17.9702,16.9740,Yes,352.9
355,88,0,17.9531,16.9531,Yes,17.7827,16.8277,Yes,363.3
356,66,1,17.9688,17.0000,Yes,17.8617,16.9245,Yes,383.6
357,83,1,18.0156,16.5938,Yes,17.8208,16.4445,Yes,358.2
358,81,1,18.1406,16.8125,Yes,17.9623,16.6884,Yes,359.3
359,44,1,18.3438,17.2656,Yes,18.2988,17.2242,Yes,376.4
360,71,0,17.9062,16.8906,Yes,17.7809,16.8000,Yes,359.3
361,53,1,17.6719,16.2188,Yes,17.6058,16.1739,Yes,375.9
362,77,1,18.2812,17.0781,Yes,18.1611,16.9902,Yes,355.7
363,58,0,17.7812,16.9219,Yes,17.6813,16.8417,Yes,377.3
364,81,1,18.0000,16.8281,Yes,17.8295,16.6945,Yes,363.9
