idx,num_tokens,label,pt_yes,pt_no,pt_pred,fhe_yes,fhe_no,fhe_pred,time_sec
58,59,1,18.4688,17.2344,Yes,18.4782,17.2352,Yes,415.8
59,93,1,18.5781,17.2188,Yes,18.5858,17.2295,Yes,419.9
60,96,0,17.7188,16.6094,Yes,17.7265,16.6055,Yes,410.9
61,94,1,17.7656,16.5625,Yes,17.7627,16.5682,Yes,416.5
62,80,1,17.8125,16.7969,Yes,17.8125,16.8013,Yes,419.9
63,80,1,17.7656,16.7188,Yes,17.7718,16.7308,Yes,416.6
64,53,1,17.9375,16.9531,Yes,17.9313,16.9631,Yes,431.7
65,81,0,18.2500,16.7188,Yes,18.2492,16.7214,Yes,418.9
66,88,1,18.0781,17.0156,Yes,18.0801,17.0222,Yes,415.1
67,78,1,18.0781,16.9219,Yes,18.0788,16.9260,Yes,409.8
68,93,0,17.7969,16.7031,Yes,17.7949,16.7147,Yes,440.8
69,70,1,18.3906,17.3594,Yes,18.3979,17.3623,Yes,419.3
70,84,1,17.9844,16.7344,Yes,17.9957,16.7412,Yes,414.5
71,81,1,18.0469,16.9375,Yes,18.0433,16.9322,Yes,408.4
72,93,1,18.0625,16.8438,Yes,18.0672,16.8401,Yes,439.0
73,84,1,18.2344,17.0625,Yes,18.2463,17.0737,Yes,446.3
74,52,1,18.2812,17.2344,Yes,18.2792,17.2409,Yes,404.3
75,67,1,18.2344,17.1719,Yes,18.2336,17.1825,Yes,421.0
76,49,0,18.2188,17.0469,Yes,18.2289,17.0601,Yes,427.4
77,102,1,17.8906,16.8125,Yes,17.8970,16.8158,Yes,410.6
78,62,1,18.2031,16.8438,Yes,18.2018,16.8407,Yes,433.4
79,77,1,18.0156,17.0156,Yes,18.0232,17.0149,Yes,414.9
80,72,0,18.1094,16.8281,Yes,18.1123,16.8295,Yes,421.5
81,81,1,18.3594,17.0938,Yes,18.3600,17.0972,Yes,422.3
82,75,1,18.3281,17.0625,Yes,18.3243,17.0719,Yes,422.1
83,56,0,18.1094,17.0781,Yes,18.1095,17.0835,Yes,427.3
84,75,1,18.0469,16.7500,Yes,18.0431,16.7573,Yes,420.0
85,86,0,18.1094,17.1250,Yes,18.1153,17.1345,Yes,421.3
86,70,1,18.2812,17.1094,Yes,18.2850,17.1163,Yes,424.5
87,54,0,18.2031,17.2656,Yes,18.1968,17.2657,Yes,418.0
88,80,1,17.8281,16.7031,Yes,17.8364,16.7113,Yes,426.4
89,83,1,18.2344,16.9062,Yes,18.2314,16.9060,Yes,427.1
90,84,0,18.1406,17.0938,Yes,18.1437,17.0954,Yes,412.5
91,72,1,18.0781,17.0781,Yes,18.0807,17.0765,Yes,423.5
92,63,1,18.1875,17.1094,Yes,18.1833,17.1062,Yes,425.9
93,84,0,18.2188,17.0000,Yes,18.2177,17.0073,Yes,413.7
